"","new_start","new_end","Location"
"114",2020-12-31,2021-07-01,"kenya_A000662"
"115",2021-07-01,2021-12-31,"kenya_A000662"
"116",2021-12-31,2022-07-01,"kenya_A000662"
"117",2022-07-01,2022-12-31,"kenya_A000662"
"118",2022-12-31,2023-03-01,"kenya_A000662"
"119",2017-12-31,2018-07-01,"kenya_A000669"
"120",2018-07-01,2018-12-31,"kenya_A000669"
"121",2018-12-31,2019-07-01,"kenya_A000669"
"122",2019-07-01,2019-12-31,"kenya_A000669"
"123",2019-12-31,2020-07-01,"kenya_A000669"
"124",2020-07-01,2020-12-31,"kenya_A000669"
"125",2020-12-31,2021-07-01,"kenya_A000669"
"126",2021-07-01,2021-12-31,"kenya_A000669"
"127",2021-12-31,2022-07-01,"kenya_A000669"
"128",2022-07-01,2022-12-31,"kenya_A000669"
"129",2022-12-31,2023-03-01,"kenya_A000669"
"130",2017-12-31,2018-07-01,"kenya_A000684"
"131",2018-07-01,2018-12-31,"kenya_A000684"
"132",2018-12-31,2019-07-01,"kenya_A000684"
"133",2019-07-01,2019-12-31,"kenya_A000684"
"134",2019-12-31,2020-07-01,"kenya_A000684"
"135",2020-07-01,2020-12-31,"kenya_A000684"
"136",2020-12-31,2021-07-01,"kenya_A000684"
"137",2021-07-01,2021-12-31,"kenya_A000684"
"138",2021-12-31,2022-07-01,"kenya_A000684"
"139",2022-07-01,2022-12-31,"kenya_A000684"
"140",2022-12-31,2023-03-01,"kenya_A000684"
"141",2017-12-31,2018-07-01,"kenya_A000688"
"142",2018-07-01,2018-12-31,"kenya_A000688"
"143",2018-12-31,2019-07-01,"kenya_A000688"
"144",2019-07-01,2019-12-31,"kenya_A000688"
"145",2019-12-31,2020-07-01,"kenya_A000688"
"146",2020-07-01,2020-12-31,"kenya_A000688"
"147",2020-12-31,2021-07-01,"kenya_A000688"
"148",2021-07-01,2021-12-31,"kenya_A000688"
"149",2021-12-31,2022-07-01,"kenya_A000688"
"150",2022-07-01,2022-12-31,"kenya_A000688"
"151",2022-12-31,2023-03-01,"kenya_A000688"
"152",2017-12-31,2018-07-01,"kenya_A000691"
"153",2018-07-01,2018-12-31,"kenya_A000691"
"154",2018-12-31,2019-07-01,"kenya_A000691"
"155",2019-07-01,2019-12-31,"kenya_A000691"
"156",2019-12-31,2020-07-01,"kenya_A000691"
"157",2020-07-01,2020-12-31,"kenya_A000691"
"158",2020-12-31,2021-07-01,"kenya_A000691"
"159",2021-07-01,2021-12-31,"kenya_A000691"
"160",2021-12-31,2022-07-01,"kenya_A000691"
"161",2022-07-01,2022-12-31,"kenya_A000691"
"162",2022-12-31,2023-03-01,"kenya_A000691"
"163",2017-12-31,2018-07-01,"kenya_A000693"
"164",2018-07-01,2018-12-31,"kenya_A000693"
"165",2018-12-31,2019-07-01,"kenya_A000693"
"166",2019-07-01,2019-12-31,"kenya_A000693"
"167",2019-12-31,2020-07-01,"kenya_A000693"
"168",2020-07-01,2020-12-31,"kenya_A000693"
"169",2020-12-31,2021-07-01,"kenya_A000693"
"170",2021-07-01,2021-12-31,"kenya_A000693"
"171",2021-12-31,2022-07-01,"kenya_A000693"
"172",2022-07-01,2022-12-31,"kenya_A000693"
"173",2022-12-31,2023-03-01,"kenya_A000693"
"174",2017-12-31,2018-07-01,"kenya_A000694"
"175",2018-07-01,2018-12-31,"kenya_A000694"
"176",2018-12-31,2019-07-01,"kenya_A000694"
"177",2019-07-01,2019-12-31,"kenya_A000694"
"178",2019-12-31,2020-07-01,"kenya_A000694"
"179",2020-07-01,2020-12-31,"kenya_A000694"
"180",2020-12-31,2021-07-01,"kenya_A000694"
"181",2021-07-01,2021-12-31,"kenya_A000694"
"182",2021-12-31,2022-07-01,"kenya_A000694"
"183",2022-07-01,2022-12-31,"kenya_A000694"
"184",2022-12-31,2023-03-01,"kenya_A000694"
"185",2017-12-31,2018-07-01,"kenya_A000702"
"186",2018-07-01,2018-12-31,"kenya_A000702"
"187",2018-12-31,2019-07-01,"kenya_A000702"
"188",2019-07-01,2019-12-31,"kenya_A000702"
"189",2019-12-31,2020-07-01,"kenya_A000702"
"190",2020-07-01,2020-12-31,"kenya_A000702"
"191",2020-12-31,2021-07-01,"kenya_A000702"
"192",2021-07-01,2021-12-31,"kenya_A000702"
"193",2021-12-31,2022-07-01,"kenya_A000702"
"194",2022-07-01,2022-12-31,"kenya_A000702"
"195",2022-12-31,2023-03-01,"kenya_A000702"
"196",2017-12-31,2018-07-01,"kenya_A000706"
"197",2018-07-01,2018-12-31,"kenya_A000706"
"198",2018-12-31,2019-07-01,"kenya_A000706"
"199",2019-07-01,2019-12-31,"kenya_A000706"
"200",2019-12-31,2020-07-01,"kenya_A000706"
"201",2020-07-01,2020-12-31,"kenya_A000706"
"202",2020-12-31,2021-07-01,"kenya_A000706"
"203",2021-07-01,2021-12-31,"kenya_A000706"
"204",2021-12-31,2022-07-01,"kenya_A000706"
"205",2022-07-01,2022-12-31,"kenya_A000706"
"206",2022-12-31,2023-03-01,"kenya_A000706"
"207",2017-12-31,2018-07-01,"kenya_A000708"
"208",2018-07-01,2018-12-31,"kenya_A000708"
"209",2018-12-31,2019-07-01,"kenya_A000708"
"210",2019-07-01,2019-12-31,"kenya_A000708"
"211",2019-12-31,2020-07-01,"kenya_A000708"
"212",2020-07-01,2020-12-31,"kenya_A000708"
"213",2020-12-31,2021-07-01,"kenya_A000708"
"214",2021-07-01,2021-12-31,"kenya_A000708"
"215",2021-12-31,2022-07-01,"kenya_A000708"
"216",2022-07-01,2022-12-31,"kenya_A000708"
"217",2022-12-31,2023-03-01,"kenya_A000708"
"218",2017-12-31,2018-07-01,"kenya_A000709"
"219",2018-07-01,2018-12-31,"kenya_A000709"
"220",2018-12-31,2019-07-01,"kenya_A000709"
"221",2019-07-01,2019-12-31,"kenya_A000709"
"222",2019-12-31,2020-07-01,"kenya_A000709"
"223",2020-07-01,2020-12-31,"kenya_A000709"
"224",2020-12-31,2021-07-01,"kenya_A000709"
"225",2021-07-01,2021-12-31,"kenya_A000709"
"226",2021-12-31,2022-07-01,"kenya_A000709"
"227",2022-07-01,2022-12-31,"kenya_A000709"
"228",2022-12-31,2023-03-01,"kenya_A000709"
"229",2017-12-31,2018-07-01,"kenya_A000716"
"230",2018-07-01,2018-12-31,"kenya_A000716"
"231",2018-12-31,2019-07-01,"kenya_A000716"
"232",2019-07-01,2019-12-31,"kenya_A000716"
"233",2019-12-31,2020-07-01,"kenya_A000716"
"234",2020-07-01,2020-12-31,"kenya_A000716"
"235",2020-12-31,2021-07-01,"kenya_A000716"
"236",2021-07-01,2021-12-31,"kenya_A000716"
"237",2021-12-31,2022-07-01,"kenya_A000716"
"238",2022-07-01,2022-12-31,"kenya_A000716"
"239",2022-12-31,2023-03-01,"kenya_A000716"
"240",2017-12-31,2018-07-01,"kenya_A000722"
"241",2018-07-01,2018-12-31,"kenya_A000722"
"242",2018-12-31,2019-07-01,"kenya_A000722"
"243",2019-07-01,2019-12-31,"kenya_A000722"
"244",2019-12-31,2020-07-01,"kenya_A000722"
"245",2020-07-01,2020-12-31,"kenya_A000722"
"246",2020-12-31,2021-07-01,"kenya_A000722"
"247",2021-07-01,2021-12-31,"kenya_A000722"
"248",2021-12-31,2022-07-01,"kenya_A000722"
"249",2022-07-01,2022-12-31,"kenya_A000722"
"250",2022-12-31,2023-03-01,"kenya_A000722"
"251",2017-12-31,2018-07-01,"kenya_A000724"
"252",2018-07-01,2018-12-31,"kenya_A000724"
"253",2018-12-31,2019-07-01,"kenya_A000724"
"254",2019-07-01,2019-12-31,"kenya_A000724"
"255",2019-12-31,2020-07-01,"kenya_A000724"
"256",2020-07-01,2020-12-31,"kenya_A000724"
"257",2020-12-31,2021-07-01,"kenya_A000724"
"258",2021-07-01,2021-12-31,"kenya_A000724"
"259",2021-12-31,2022-07-01,"kenya_A000724"
"260",2022-07-01,2022-12-31,"kenya_A000724"
"261",2022-12-31,2023-03-01,"kenya_A000724"
"262",2017-12-31,2018-07-01,"kenya_A000729"
"263",2018-07-01,2018-12-31,"kenya_A000729"
"264",2018-12-31,2019-07-01,"kenya_A000729"
"265",2019-07-01,2019-12-31,"kenya_A000729"
"266",2019-12-31,2020-07-01,"kenya_A000729"
"267",2020-07-01,2020-12-31,"kenya_A000729"
"268",2020-12-31,2021-07-01,"kenya_A000729"
"269",2021-07-01,2021-12-31,"kenya_A000729"
"270",2021-12-31,2022-07-01,"kenya_A000729"
"271",2022-07-01,2022-12-31,"kenya_A000729"
"272",2022-12-31,2023-03-01,"kenya_A000729"
"273",2017-12-31,2018-07-01,"kenya_A000756"
"274",2018-07-01,2018-12-31,"kenya_A000756"
"275",2018-12-31,2019-07-01,"kenya_A000756"
"276",2019-07-01,2019-12-31,"kenya_A000756"
