,X,lon,lat,Location,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h,valid_season
40,85,-96.47881449,41.16426629,planet_C004201,C004201,,,planet,2020-01-01,2020-12-31,250,250,eed0f620-1b29-422d-8e23-45ac4eae1fff,N
41,86,-96.47975922,41.16748047,planet_C003942,C003942,,,planet,2020-01-01,2020-12-31,250,250,1df77076-0df6-4a26-aef5-540e3f620c04,N
42,87,-96.47865384,41.16747128,planet_C004256,C004256,,,planet,2020-01-01,2020-12-31,250,250,2ccbf825-7713-41ed-9ee2-134a99cc0654,N
43,88,-96.47178782,41.16285203,planet_C004140,C004140,,,planet,2020-01-01,2020-12-31,250,250,1b3d4331-cf4b-4d99-a3a8-5fad6c0a549a,N
44,89,-96.47059802,41.16249323,planet_C004334,C004334,,,planet,2020-01-01,2020-12-31,250,250,92c655e4-fd8b-4dfc-a5c6-9bc2174d6a42,N
45,90,-96.46870688,41.16271874,planet_C003757,C003757,,,planet,2020-01-01,2020-12-31,250,250,b3e10412-55c9-4de6-a003-f32397eb4004,N
46,91,-96.46466654,41.16564855,planet_C003794,C003794,,,planet,2020-01-01,2020-12-31,250,250,3ab1f333-c4df-49da-89be-be6011feb652,N
47,92,-96.46691642,41.16560016,planet_C004347,C004347,,,planet,2020-01-01,2020-12-31,250,250,dbf2a3b1-9b55-4330-a186-76cc8faca037,N
48,93,-96.46791606,41.16584305,planet_C003897,C003897,,,planet,2020-01-01,2020-12-31,250,250,3760294a-2368-460a-93a2-8e29c405f54b,N
49,94,-96.44425883,41.17755597,planet_C003755,C003755,,,planet,2020-01-01,2020-12-31,229,250,fad8e748-a243-47f4-b9eb-83ad32f032fa,N
50,95,-96.44435376,41.1775216,planet_C003310,C003310,,,planet,2020-01-01,2020-12-31,229,250,7f3ee8ee-2a2b-4a57-9730-77fb22ead973,N
51,96,-96.44294434,41.17754475,planet_C004290,C004290,,,planet,2020-01-01,2020-12-31,229,250,3db773b4-1029-43cb-8eae-4416e6247f9f,N
52,97,-96.44290352,41.17754854,planet_C003944,C003944,,,planet,2020-01-01,2020-12-31,229,250,b0f74123-b544-4e52-827e-3410a628b383,N
53,98,-96.44037308,41.17748288,planet_C003781,C003781,,,planet,2020-01-01,2020-12-31,250,250,9e925e4d-771f-4a1f-8c8d-74f5e1c51386,N
54,99,-96.44035285,41.17748952,planet_C003614,C003614,,,planet,2020-01-01,2020-12-31,250,250,d768af49-a88a-4ff0-8fec-e651e99bbd7c,N
55,100,-96.4435824,41.18220632,planet_C003849,C003849,,,planet,2020-01-01,2020-12-31,229,250,dafbec74-ab61-4e5e-994c-c9a0b45f5993,N
56,101,-96.44349127,41.18219248,planet_C003957,C003957,,,planet,2020-01-01,2020-12-31,230,250,e504c2da-5e11-45f4-bdc5-8eca426a653e,N
