,X,lon,lat,Location,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h,valid_season
168,46,37.10249,-0.04098,kenya_A000694_5,A000694,,,kenya,2020-01-10,2020-10-08,250,250,cc367092-b519-478a-aa04-ebc5655b77a1,N
169,46,37.10249,-0.04098,kenya_A000694_6,A000694,,,kenya,2020-07-12,2021-03-27,250,250,cc367092-b519-478a-aa04-ebc5655b77a1,N
170,47,37.06947,0.04583,kenya_A000702_1,A000702,,,kenya,2018-01-24,2018-11-14,250,250,db5fb453-16e2-480f-9c78-46969e185454,Y
171,47,37.06947,0.04583,kenya_A000702_2,A000702,,,kenya,2018-08-18,2019-05-17,250,250,db5fb453-16e2-480f-9c78-46969e185454,Y
172,47,37.06947,0.04583,kenya_A000702_3,A000702,,,kenya,2019-02-18,2019-11-08,250,250,db5fb453-16e2-480f-9c78-46969e185454,Y
173,47,37.06947,0.04583,kenya_A000702_4,A000702,,,kenya,2019-08-12,2020-04-08,250,250,db5fb453-16e2-480f-9c78-46969e185454,N
174,47,37.06947,0.04583,kenya_A000702_5,A000702,,,kenya,2020-01-11,2020-12-14,250,250,db5fb453-16e2-480f-9c78-46969e185454,discard
175,48,37.24906,0.10191,kenya_A000706_1,A000706,,,kenya,2018-01-26,2019-06-12,250,250,eacb567b-3614-4991-bc4f-32aff4b251ae,Y
176,48,37.24906,0.10191,kenya_A000706_2,A000706,,,kenya,2019-03-16,2020-07-03,250,250,eacb567b-3614-4991-bc4f-32aff4b251ae,Y
177,49,37.05657,-0.05785,kenya_A000708_1,A000708,,,kenya,2018-01-23,2018-11-18,250,250,890775b9-44b3-49d6-b453-c5e501eedde0,Y
178,49,37.05657,-0.05785,kenya_A000708_2,A000708,,,kenya,2018-08-22,2019-06-28,250,250,890775b9-44b3-49d6-b453-c5e501eedde0,Y
179,49,37.05657,-0.05785,kenya_A000708_3,A000708,,,kenya,2019-04-01,2019-12-30,250,250,890775b9-44b3-49d6-b453-c5e501eedde0,Y
180,49,37.05657,-0.05785,kenya_A000708_4,A000708,,,kenya,2019-10-03,2020-05-30,250,250,890775b9-44b3-49d6-b453-c5e501eedde0,Y
181,49,37.05657,-0.05785,kenya_A000708_5,A000708,,,kenya,2020-03-03,2020-11-18,250,250,890775b9-44b3-49d6-b453-c5e501eedde0,Y
182,49,37.05657,-0.05785,kenya_A000708_6,A000708,,,kenya,2020-08-22,2021-03-27,250,250,890775b9-44b3-49d6-b453-c5e501eedde0,N
183,50,36.98456,0.01488,kenya_A000709_1,A000709,,,kenya,2018-01-22,2018-11-18,250,250,3b0dc01e-e14b-4797-bef8-1bdbf4c74f63,N
184,50,36.98456,0.01488,kenya_A000709_2,A000709,,,kenya,2018-08-22,2019-05-30,250,250,3b0dc01e-e14b-4797-bef8-1bdbf4c74f63,Y
185,50,36.98456,0.01488,kenya_A000709_3,A000709,,,kenya,2019-03-03,2019-10-20,250,250,3b0dc01e-e14b-4797-bef8-1bdbf4c74f63,discard
186,51,37.04585,-0.03129,kenya_A000716_1,A000716,,,kenya,2018-01-23,2018-11-29,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
187,51,37.04585,-0.03129,kenya_A000716_2,A000716,,,kenya,2018-09-02,2019-05-18,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
188,51,37.04585,-0.03129,kenya_A000716_3,A000716,,,kenya,2019-02-19,2019-10-21,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
189,51,37.04585,-0.03129,kenya_A000716_4,A000716,,,kenya,2019-07-25,2020-04-30,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
190,51,37.04585,-0.03129,kenya_A000716_5,A000716,,,kenya,2020-02-02,2020-11-14,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
191,51,37.04585,-0.03129,kenya_A000716_6,A000716,,,kenya,2020-08-18,2021-04-22,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
192,51,37.04585,-0.03129,kenya_A000716_7,A000716,,,kenya,2021-01-24,2021-09-15,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
193,51,37.04585,-0.03129,kenya_A000716_8,A000716,,,kenya,2021-06-19,2022-01-07,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,N
194,51,37.04585,-0.03129,kenya_A000716_9,A000716,,,kenya,2021-10-11,2022-04-29,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
195,51,37.04585,-0.03129,kenya_A000716_10,A000716,,,kenya,2022-01-31,2022-09-25,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,Y
196,51,37.04585,-0.03129,kenya_A000716_11,A000716,,,kenya,2022-06-29,2023-02-16,250,250,d25ecd00-20c1-429a-9846-1c2ca28cc3be,N
197,52,37.12959,-0.01424,kenya_A000722_1,A000722,,,kenya,2018-01-27,2018-12-22,250,250,7e3a9307-ed9c-421c-a13b-160f3728b79f,Y
198,52,37.12959,-0.01424,kenya_A000722_2,A000722,,,kenya,2018-09-25,2019-04-23,250,250,7e3a9307-ed9c-421c-a13b-160f3728b79f,N
199,53,37.07295,0.13545,kenya_A000724_1,A000724,,,kenya,2018-01-23,2018-11-21,250,250,594f0d20-8015-459a-b933-45376139efe9,Y
200,53,37.07295,0.13545,kenya_A000724_2,A000724,,,kenya,2018-08-25,2019-05-28,250,250,594f0d20-8015-459a-b933-45376139efe9,Y
201,53,37.07295,0.13545,kenya_A000724_3,A000724,,,kenya,2019-03-01,2019-11-13,250,250,594f0d20-8015-459a-b933-45376139efe9,Y
202,54,37.07884,0.10557,kenya_A000729_1,A000729,,,kenya,2018-01-24,2018-11-14,250,250,dc3c3fe5-b02b-47fa-9798-c62c8936d679,Y
203,54,37.07884,0.10557,kenya_A000729_2,A000729,,,kenya,2018-08-18,2019-05-22,250,250,dc3c3fe5-b02b-47fa-9798-c62c8936d679,Y
204,54,37.07884,0.10557,kenya_A000729_3,A000729,,,kenya,2019-02-23,2019-12-28,250,250,dc3c3fe5-b02b-47fa-9798-c62c8936d679,Y
205,54,37.07884,0.10557,kenya_A000729_4,A000729,,,kenya,2019-10-01,2020-05-09,250,250,dc3c3fe5-b02b-47fa-9798-c62c8936d679,Y
206,54,37.07884,0.10557,kenya_A000729_5,A000729,,,kenya,2020-02-11,2021-02-26,250,250,dc3c3fe5-b02b-47fa-9798-c62c8936d679,Y
207,55,37.19581,0.07336,kenya_A000756_1,A000756,,,kenya,2018-01-29,2018-12-02,250,250,18f1056d-913f-4d37-9d74-ef2996348302,Y
208,55,37.19581,0.07336,kenya_A000756_2,A000756,,,kenya,2018-09-05,2019-06-14,250,250,18f1056d-913f-4d37-9d74-ef2996348302,Y
209,55,37.19581,0.07336,kenya_A000756_3,A000756,,,kenya,2019-03-18,2020-05-11,250,250,18f1056d-913f-4d37-9d74-ef2996348302,Y
210,55,37.19581,0.07336,kenya_A000756_4,A000756,,,kenya,2020-02-13,2020-11-27,250,250,18f1056d-913f-4d37-9d74-ef2996348302,Y
211,55,37.19581,0.07336,kenya_A000756_5,A000756,,,kenya,2020-08-31,2021-05-01,250,250,18f1056d-913f-4d37-9d74-ef2996348302,Y
212,55,37.19581,0.07336,kenya_A000756_6,A000756,,,kenya,2021-02-02,2021-10-03,250,250,18f1056d-913f-4d37-9d74-ef2996348302,Y
213,55,37.19581,0.07336,kenya_A000756_7,A000756,,,kenya,2021-07-07,2022-05-05,250,250,18f1056d-913f-4d37-9d74-ef2996348302,Y
214,55,37.19581,0.07336,kenya_A000756_8,A000756,,,kenya,2022-02-06,2022-11-04,250,250,18f1056d-913f-4d37-9d74-ef2996348302,Y
215,55,37.19581,0.07336,kenya_A000756_9,A000756,,,kenya,2022-08-08,2023-02-18,250,250,18f1056d-913f-4d37-9d74-ef2996348302,discard
216,56,37.2139,0.04287,kenya_A000769_1,A000769,,,kenya,2018-02-17,2019-05-11,250,250,6b967311-5f56-4563-a2cb-c4d19f9a9f4a,N
217,56,37.2139,0.04287,kenya_A000769_2,A000769,,,kenya,2019-02-12,2020-05-06,250,250,6b967311-5f56-4563-a2cb-c4d19f9a9f4a,Y
218,56,37.2139,0.04287,kenya_A000769_3,A000769,,,kenya,2020-02-08,2021-03-27,250,250,6b967311-5f56-4563-a2cb-c4d19f9a9f4a,N
219,57,37.02913,-0.0711,kenya_A000793_1,A000793,,,kenya,2018-02-18,2018-11-06,250,250,e1bdde30-1ad8-4273-b16f-b65533c14178,N
220,57,37.02913,-0.0711,kenya_A000793_2,A000793,,,kenya,2018-08-10,2019-04-28,250,250,e1bdde30-1ad8-4273-b16f-b65533c14178,Y
221,57,37.02913,-0.0711,kenya_A000793_3,A000793,,,kenya,2019-01-30,2019-10-28,250,250,e1bdde30-1ad8-4273-b16f-b65533c14178,Y
222,57,37.02913,-0.0711,kenya_A000793_4,A000793,,,kenya,2019-08-01,2020-03-15,250,250,e1bdde30-1ad8-4273-b16f-b65533c14178,Y
223,57,37.02913,-0.0711,kenya_A000793_5,A000793,,,kenya,2019-12-18,2020-11-04,250,250,e1bdde30-1ad8-4273-b16f-b65533c14178,Y
224,57,37.02913,-0.0711,kenya_A000793_6,A000793,,,kenya,2020-08-08,2021-04-02,250,250,e1bdde30-1ad8-4273-b16f-b65533c14178,N
